Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/02/2022 	_x86_64_	(48 CPU)

05:04:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:04:11 PM     all      3.75      0.00      2.54      0.02      0.00     93.69
05:04:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       3     96.00      0.00      4.00      0.00      0.00      0.00
05:04:11 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
05:04:11 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
05:04:11 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      25     41.00      0.00     59.00      0.00      0.00      0.00
05:04:11 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      40     41.58      0.00     58.42      0.00      0.00      0.00
05:04:11 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:04:11 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:04:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:04:12 PM     all      3.54      0.00      2.77      0.00      0.00     93.69
05:04:12 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       3     97.00      0.00      3.00      0.00      0.00      0.00
05:04:12 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
05:04:12 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      11      0.99      0.00      1.98      0.00      0.00     97.03
05:04:12 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      25     36.00      0.00     64.00      0.00      0.00      0.00
05:04:12 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      40     36.00      0.00     64.00      0.00      0.00      0.00
05:04:12 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:04:12 PM      47      0.00      0.00      0.00      0.00      0.00    100.00
