Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/02/2022 	_x86_64_	(48 CPU)

04:43:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:43:18 PM     all      3.79      0.00      2.56      0.00      0.00     93.65
04:43:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       7     95.05      0.00      4.95      0.00      0.00      0.00
04:43:18 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      11      0.00      0.00      1.01      0.00      0.00     98.99
04:43:18 PM      12      1.00      0.00      0.00      0.00      0.00     99.00
04:43:18 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      25     42.57      0.00     57.43      0.00      0.00      0.00
04:43:18 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      36      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      40     41.00      0.00     59.00      0.00      0.00      0.00
04:43:18 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
04:43:18 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

04:43:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:43:19 PM     all      3.67      0.00      2.60      0.02      0.00     93.71
04:43:19 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM       7     96.00      0.00      4.00      0.00      0.00      0.00
04:43:19 PM       8      0.00      0.00      0.00      0.99      0.00     99.01
04:43:19 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM      12      1.98      0.00      0.00      0.00      0.00     98.02
04:43:19 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
04:43:19 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
