Linux 3.10.0-1160.45.1.el7.x86_64 (e5-cse-ladon.cse.psu.edu) 	01/01/2022 	_x86_64_	(48 CPU)

01:38:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:21 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:38:21 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:38:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:22 PM     all      3.63      0.00      2.65      0.00      0.00     93.73
01:38:22 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       5      0.99      0.00      0.00      0.00      0.00     99.01
01:38:22 PM       6     95.00      0.00      5.00      0.00      0.00      0.00
01:38:22 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
01:38:22 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      27     40.00      0.00     60.00      0.00      0.00      0.00
01:38:22 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      36     38.00      0.00     62.00      0.00      0.00      0.00
01:38:22 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      45      1.00      0.00      0.00      0.00      0.00     99.00
01:38:22 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
01:38:22 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

01:38:22 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:38:23 PM     all      3.69      0.00      2.65      0.00      0.00     93.67
01:38:23 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       6     97.03      0.00      2.97      0.00      0.00      0.00
01:38:23 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      20      1.00      0.00      2.00      0.00      0.00     97.00
01:38:23 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      27     40.00      0.00     60.00      0.00      0.00      0.00
01:38:23 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      36     38.38      0.00     61.62      0.00      0.00      0.00
01:38:23 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
01:38:23 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
