Linux 5.11.0-41-generic (Niramay-Inspiron-5515) 	12/19/2021 	_x86_64_	(16 CPU)

11:37:51 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:56 AM      15      3.03      0.00      0.00      0.00      0.00     96.97

11:37:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:57 AM     all     13.62      0.00      1.62      0.12      0.00     84.64
11:37:57 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:37:57 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:37:57 AM       2      0.90      0.00     12.61      0.00      0.00     86.49
11:37:57 AM       3      1.00      0.00      1.00      0.00      0.00     98.00
11:37:57 AM       4      0.00      0.00      1.00      0.00      0.00     99.00
11:37:57 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:57 AM       6      1.00      0.00      0.00      0.00      0.00     99.00
11:37:57 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:37:57 AM       8      3.00      0.00      1.00      0.00      0.00     96.00
11:37:57 AM       9      1.02      0.00      0.00      0.00      0.00     98.98
11:37:57 AM      10      3.96      0.00      1.98      0.00      0.00     94.06
11:37:57 AM      11      0.00      0.00      1.02      0.00      0.00     98.98
11:37:57 AM      12      3.96      0.00      1.98      0.00      0.00     94.06
11:37:57 AM      13      0.00      0.00      1.00      2.00      0.00     97.00
11:37:57 AM      14      1.02      0.00      1.02      0.00      0.00     97.96
11:37:57 AM      15      2.97      0.00      1.98      0.00      0.00     95.05

11:37:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:58 AM     all     12.69      0.00      1.43      0.00      0.00     85.87
11:37:58 AM       0     96.00      0.00      0.00      0.00      0.00      4.00
11:37:58 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:37:58 AM       2      0.85      0.00     16.24      0.00      0.00     82.91
11:37:58 AM       3      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM       8      1.02      0.00      1.02      0.00      0.00     97.96
11:37:58 AM       9      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:37:58 AM      12      1.02      0.00      1.02      0.00      0.00     97.96
11:37:58 AM      13      1.00      0.00      0.00      0.00      0.00     99.00
11:37:58 AM      14      1.00      0.00      2.00      0.00      0.00     97.00
11:37:58 AM      15      1.01      0.00      0.00      0.00      0.00     98.99

11:37:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:59 AM     all      4.83      2.66     10.90      0.06      0.00     81.54
11:37:59 AM       0      0.00      0.00     20.16      0.00      0.00     79.84
11:37:59 AM       1     18.00      0.00      0.00      0.00      0.00     82.00
11:37:59 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:37:59 AM       3     15.15      0.00     51.52      0.00      0.00     33.33
11:37:59 AM       4      4.00      0.00     13.00      0.00      0.00     83.00
11:37:59 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:37:59 AM       6      0.00      0.00      1.00      0.00      0.00     99.00
11:37:59 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:37:59 AM       8      3.00      0.00      1.00      1.00      0.00     95.00
11:37:59 AM       9      0.00     15.15     10.10      0.00      0.00     74.75
11:37:59 AM      10     18.56      0.00     26.80      0.00      0.00     54.64
11:37:59 AM      11     14.14      0.00     21.21      0.00      0.00     64.65
11:37:59 AM      12      2.02      3.03      6.06      0.00      0.00     88.89
11:37:59 AM      13      2.02      8.08      7.07      0.00      0.00     82.83
11:37:59 AM      14      1.00     17.00     15.00      0.00      0.00     67.00
11:37:59 AM      15      1.01      0.00      0.00      0.00      0.00     98.99

11:37:59 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:00 AM     all      4.53      3.06     14.25      0.06      0.00     78.10
11:38:00 AM       0      0.00      0.00     34.23      0.00      0.00     65.77
11:38:00 AM       1      0.00      0.00      2.94      0.00      0.00     97.06
11:38:00 AM       2      0.99      0.00      0.99      0.00      0.00     98.02
11:38:00 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:38:00 AM       4     21.00      0.00     79.00      0.00      0.00      0.00
11:38:00 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:38:00 AM       6      1.00      0.00      1.00      0.00      0.00     98.00
11:38:00 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:38:00 AM       8      0.00     41.49     37.23      0.00      0.00     21.28
11:38:00 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:38:00 AM      10      8.08      0.00      4.04      0.00      0.00     87.88
11:38:00 AM      11      1.01      0.00      0.00      0.00      0.00     98.99
11:38:00 AM      12      7.07      0.00      1.01      0.00      0.00     91.92
11:38:00 AM      13      1.01     11.11      8.08      0.00      0.00     79.80
11:38:00 AM      14      1.01      0.00      1.01      1.01      0.00     96.97
11:38:00 AM      15     34.38      0.00     51.04      0.00      0.00     14.58

11:38:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:01 AM     all      6.16      2.99     14.03      0.00      0.00     76.82
11:38:01 AM       0      0.66      0.00     35.53      0.00      0.00     63.82
11:38:01 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:38:01 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
11:38:01 AM       3      0.00      0.00      1.00      0.00      0.00     99.00
11:38:01 AM       4     12.00      0.00     40.00      0.00      0.00     48.00
11:38:01 AM       5     12.00      0.00     36.00      0.00      0.00     52.00
11:38:01 AM       6      2.02      0.00      0.00      0.00      0.00     97.98
11:38:01 AM       7      0.00      0.00      0.99      0.00      0.00     99.01
11:38:01 AM       8     14.74     29.47     49.47      0.00      0.00      6.32
11:38:01 AM       9     10.10      0.00      8.08      0.00      0.00     81.82
11:38:01 AM      10      9.09      0.00      1.01      0.00      0.00     89.90
11:38:01 AM      11      5.05      0.00      0.00      0.00      0.00     94.95
11:38:01 AM      12      8.91      5.94      4.95      0.00      0.00     80.20
11:38:01 AM      13      2.02     15.15     13.13      0.00      0.00     69.70
11:38:01 AM      14      2.02      0.00      1.01      0.00      0.00     96.97
11:38:01 AM      15     22.92      0.00     22.92      0.00      0.00     54.17

11:38:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:02 AM     all     26.15      2.06      8.49      0.50      0.00     62.80
11:38:02 AM       0     22.32      0.00     10.71      0.00      0.00     66.96
11:38:02 AM       1     23.00      0.00      0.00      0.00      0.00     77.00
11:38:02 AM       2     22.22      0.00      0.00      0.00      0.00     77.78
11:38:02 AM       3     23.23      0.00      1.01      0.00      0.00     75.76
11:38:02 AM       4     22.00      1.00      0.00      0.00      0.00     77.00
11:38:02 AM       5     41.58      0.00     50.50      7.92      0.00      0.00
11:38:02 AM       6     23.23      0.00      0.00      0.00      0.00     76.77
11:38:02 AM       7     23.00      0.00      0.00      0.00      0.00     77.00
11:38:02 AM       8     42.00      5.00     34.00      0.00      0.00     19.00
11:38:02 AM       9     23.23      0.00      0.00      0.00      0.00     76.77
11:38:02 AM      10     23.47      0.00      1.02      0.00      0.00     75.51
11:38:02 AM      11     31.31      0.00     13.13      0.00      0.00     55.56
11:38:02 AM      12     24.49      5.10      5.10      0.00      0.00     65.31
11:38:02 AM      13     25.00     22.92     17.71      0.00      0.00     34.38
11:38:02 AM      14     24.00      0.00      1.00      0.00      0.00     75.00
11:38:02 AM      15     24.51      0.00      0.98      0.00      0.00     74.51

11:38:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:03 AM     all     78.30      0.00      2.10      0.00      0.00     19.61
11:38:03 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       2     99.01      0.00      0.99      0.00      0.00      0.00
11:38:03 AM       3    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       4    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       5    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       6    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       7    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       8    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM       9    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM      10    100.00      0.00      0.00      0.00      0.00      0.00
11:38:03 AM      11     74.76      0.00      3.88      0.00      0.00     21.36
11:38:03 AM      12     45.95      0.00     10.81      0.00      0.00     43.24
11:38:03 AM      13     30.39      0.00      2.94      0.00      0.00     66.67
11:38:03 AM      14      9.62      0.00      7.69      0.00      0.00     82.69
11:38:03 AM      15      2.91      0.00      5.83      0.00      0.00     91.26

11:38:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:04 AM     all     61.16      0.00      2.75      0.06      0.00     36.02
11:38:04 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       2    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       3     99.01      0.00      0.99      0.00      0.00      0.00
11:38:04 AM       4    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       5    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       6    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       7    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       8    100.00      0.00      0.00      0.00      0.00      0.00
11:38:04 AM       9     70.80      0.00     11.50      0.00      0.00     17.70
11:38:04 AM      10      8.55      0.00     16.24      0.00      0.00     75.21
11:38:04 AM      11      1.87      0.00      7.48      0.00      0.00     90.65
11:38:04 AM      12      2.04      0.00      0.00      0.00      0.00     97.96
11:38:04 AM      13      1.00      0.00      2.00      0.00      0.00     97.00
11:38:04 AM      14      3.00      0.00      2.00      1.00      0.00     94.00
11:38:04 AM      15      2.02      0.00      0.00      0.00      0.00     97.98

11:38:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:38:05 AM     all     51.02      0.00      2.04      0.00      0.00     46.94
11:38:05 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       1    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       2    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       3    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       4     99.00      0.00      1.00      0.00      0.00      0.00
11:38:05 AM       5    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       6    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       7    100.00      0.00      0.00      0.00      0.00      0.00
11:38:05 AM       8     10.92      0.00     17.65      0.00      0.00     71.43
11:38:05 AM       9      0.94      0.00      5.66      0.00      0.00     93.40
