Linux 5.11.0-41-generic (Niramay-Inspiron-5515) 	12/19/2021 	_x86_64_	(16 CPU)

11:58:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:08 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

11:58:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:09 AM     all      6.62      0.00      1.12      0.00      0.00     92.25
11:58:09 AM       0      1.87      0.00      8.41      0.00      0.00     89.72
11:58:09 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:09 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:58:09 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:58:09 AM       4      1.02      0.00      0.00      0.00      0.00     98.98
11:58:09 AM       5      0.00      0.00      1.01      0.00      0.00     98.99
11:58:09 AM       6      1.00      0.00      1.00      0.00      0.00     98.00
11:58:09 AM       7      1.00      0.00      0.00      0.00      0.00     99.00
11:58:09 AM       8      1.00      0.00      0.00      0.00      0.00     99.00
11:58:09 AM       9     97.00      0.00      3.00      0.00      0.00      0.00
11:58:09 AM      10      1.01      0.00      1.01      0.00      0.00     97.98
11:58:09 AM      11      0.99      0.00      0.99      0.00      0.00     98.02
11:58:09 AM      12      0.00      0.00      2.00      0.00      0.00     98.00
11:58:09 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:58:09 AM      14      1.00      0.00      0.00      0.00      0.00     99.00
11:58:09 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:10 AM     all      7.09      0.00      1.18      0.00      0.00     91.72
11:58:10 AM       0      1.85      0.00      9.26      0.00      0.00     88.89
11:58:10 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:10 AM       2      0.00      0.00      1.00      0.00      0.00     99.00
11:58:10 AM       3      1.00      0.00      1.00      0.00      0.00     98.00
11:58:10 AM       4      2.00      0.00      1.00      0.00      0.00     97.00
11:58:10 AM       5      0.98      0.00      0.98      0.00      0.00     98.04
11:58:10 AM       6      1.00      0.00      0.00      0.00      0.00     99.00
11:58:10 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:10 AM       8     69.70      0.00      1.01      0.00      0.00     29.29
11:58:10 AM       9     28.00      0.00      1.00      0.00      0.00     71.00
11:58:10 AM      10      2.00      0.00      1.00      0.00      0.00     97.00
11:58:10 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:58:10 AM      12      2.02      0.00      0.00      0.00      0.00     97.98
11:58:10 AM      13      2.97      0.00      0.00      0.00      0.00     97.03
11:58:10 AM      14      1.00      0.00      1.00      0.00      0.00     98.00
11:58:10 AM      15      1.98      0.00      0.99      0.00      0.00     97.03

11:58:10 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:11 AM     all      6.64      0.06      0.69      0.06      0.00     92.55
11:58:11 AM       0      2.91      0.97      0.97      0.00      0.00     95.15
11:58:11 AM       1      0.00      0.00      1.96      0.00      0.00     98.04
11:58:11 AM       2      1.01      0.00      0.00      0.00      0.00     98.99
11:58:11 AM       3      1.01      0.00      1.01      0.00      0.00     97.98
11:58:11 AM       4      0.00      0.00      0.00      1.01      0.00     98.99
11:58:11 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM       6      2.02      0.00      1.01      0.00      0.00     96.97
11:58:11 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM       8     96.04      0.00      3.96      0.00      0.00      0.00
11:58:11 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM      11      1.00      0.00      1.00      0.00      0.00     98.00
11:58:11 AM      12      1.01      0.00      1.01      0.00      0.00     97.98
11:58:11 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
11:58:11 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:12 AM     all      6.73      0.00      2.24      0.06      0.00     90.96
11:58:12 AM       0      3.60      0.00     10.81      0.00      0.00     85.59
11:58:12 AM       1      4.04      0.00      5.05      0.00      0.00     90.91
11:58:12 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
11:58:12 AM       3      1.00      0.00      1.00      0.00      0.00     98.00
